frameindex,frametime,cputime,culltime,gputime,draws,tris,
1817,11206.099609,2384.699951,1842.500000,9025.000000,3106,34636848,
1818,11169.700195,2426.800049,1940.599976,8931.200195,3100,34605360,
1819,11311.500000,2494.100098,1978.699951,9004.900391,3087,31223526,
1820,11083.400391,2387.100098,1853.599976,8894.500000,3127,31176678,
1821,11430.200195,2457.800049,1965.199951,9169.200195,3155,31034278,
1822,11213.000000,2473.199951,1940.800049,8948.500000,3196,31067814,
1823,11317.900391,2456.100098,1914.699951,9071.299805,3176,31005894,
1824,11250.700195,2440.199951,1914.699951,9002.500000,3175,31036422,
1825,11049.099609,2432.300049,1879.300049,8813.700195,3148,31255440,
1826,11456.700195,2493.699951,1982.599976,9153.700195,3152,31264464,
1827,11411.799805,2498.100098,2000.199951,9093.000000,3148,31265040,
1828,11420.299805,2463.199951,1941.900024,9167.500000,3140,31729360,
1829,11221.900391,2524.800049,1989.400024,8885.599609,3152,31772624,
1830,11541.799805,2516.100098,1982.199951,9215.099609,3183,34377860,
1831,11239.500000,2492.800049,1943.300049,8956.500000,3217,34754350,
1832,10930.000000,2429.300049,1940.900024,8683.299805,3220,34745134,
1833,11387.400391,2510.800049,1967.900024,9072.200195,3214,34937710,
1834,11184.299805,2518.800049,2010.900024,8857.099609,3229,34925550,
1835,11449.599609,2469.199951,1931.800049,9179.700195,3227,37676194,
1836,11404.299805,2460.199951,1919.699951,9159.299805,3224,37673378,
1837,11501.700195,2624.300049,2073.699951,9074.200195,3251,37711074,
1838,11540.099609,2648.100098,2058.300049,9111.900391,3262,37695202,
1839,11229.599609,2517.800049,1974.599976,8917.299805,3271,37740738,
1840,11365.099609,2606.000000,2076.000000,8937.200195,3322,38041762,
1841,11728.900391,2630.399902,2081.899902,9291.500000,3309,37866658,
1842,11083.400391,2458.100098,1939.099976,8812.900391,3289,37855586,
1843,11312.200195,2605.600098,2051.100098,8910.000000,3316,37712226,
1844,11458.599609,2499.199951,1940.599976,9163.000000,3316,37711458,
1845,11293.400391,2534.300049,1978.500000,8976.299805,3349,37731106,
1846,11548.500000,2542.199951,2014.300049,9198.799805,3323,35113356,
1847,11632.400391,2701.399902,2105.800049,9139.900391,3329,34752290,
1848,11338.200195,2628.100098,2080.000000,8927.200195,3325,34716450,
1849,11654.299805,2725.600098,2136.800049,9156.000000,3346,34935372,
1850,11937.000000,2647.199951,2120.300049,9478.700195,3375,32385198,
1851,11310.200195,2501.100098,1995.500000,8999.400391,3361,32067694,
1852,11306.400391,2593.800049,2085.100098,8913.400391,3335,32211502,
