frameindex,frametime,cputime,culltime,gputime,draws,tris,
4678,13022.500000,3198.199951,2475.899902,10073.500000,4611,27885240,
4679,13154.200195,3312.000000,2612.600098,10089.000000,4607,27974290,
4680,13343.900391,3248.899902,2496.500000,10387.500000,4653,30790224,
4681,13475.599609,3286.199951,2512.199951,10472.099609,4686,30527152,
4682,13305.500000,3352.399902,2601.300049,10224.599609,4690,30171334,
4683,13155.299805,3296.000000,2563.800049,10113.700195,4677,30490502,
4684,13454.200195,3377.000000,2641.399902,10340.900391,4688,30574086,
4685,13297.200195,3375.500000,2611.000000,10182.000000,4753,33999376,
4686,13467.900391,3224.600098,2497.199951,10535.000000,4747,33966352,
4687,13084.200195,3134.800049,2426.800049,10214.400391,4754,34043408,
4688,13286.500000,3319.500000,2574.399902,10231.799805,4768,34339984,
4689,13331.000000,3385.500000,2656.800049,10205.099609,4782,34012454,
4690,13252.700195,3291.500000,2538.500000,10224.400391,4795,33979174,
4691,13263.200195,3253.500000,2526.600098,10285.599609,4799,31623858,
4692,13040.000000,3304.000000,2585.100098,9990.400391,4842,31928796,
4693,13137.599609,3354.300049,2610.500000,10034.299805,4841,31872210,
4694,13196.700195,3261.699951,2538.699951,10177.000000,4799,31404082,
4695,13238.799805,3339.600098,2584.800049,10176.299805,4815,31400306,
4696,13427.599609,3291.899902,2574.000000,10387.900391,4815,31110536,
4697,13477.599609,3359.699951,2638.699951,10345.099609,4847,31160328,
4698,13345.400391,3267.699951,2559.800049,10331.299805,4870,33383230,
4699,13685.700195,3521.300049,2747.199951,10440.299805,4895,31065160,
4700,13368.599609,3496.100098,2704.100098,10155.700195,4851,30855768,
4701,13493.099609,3406.100098,2686.100098,10342.400391,4836,30686536,
4702,13286.200195,3402.500000,2671.500000,10137.099609,4834,30731912,
4703,13646.200195,3460.100098,2673.100098,10451.500000,4856,30846344,
4704,13302.500000,3427.699951,2710.899902,10157.000000,4889,30998504,
4705,13723.500000,3337.100098,2565.500000,10667.099609,4898,30664712,
4706,13236.000000,3332.199951,2547.899902,10184.200195,4890,30633800,
4707,13524.200195,3482.600098,2719.699951,10299.599609,4887,27627688,
4708,13325.299805,3385.000000,2655.699951,10218.700195,4837,27041256,
4709,13281.299805,3439.800049,2694.199951,10085.900391,4849,23853661,
4710,13127.700195,3397.100098,2664.800049,9995.099609,4824,22467518,
4711,13144.700195,3373.000000,2625.699951,10040.099609,4750,22435176,
4712,13135.900391,3300.899902,2587.899902,10100.500000,4736,22385256,
4713,13260.099609,3226.699951,2479.100098,10294.599609,4739,22733480,
4714,13030.200195,3243.600098,2485.100098,10046.900391,4820,23723250,
4715,13054.299805,3380.199951,2665.899902,9960.299805,4887,24532572,
4716,13226.400391,3400.199951,2665.399902,10099.099609,4903,23996562,
4717,13145.200195,3400.500000,2618.899902,10000.299805,4903,24050578,
4718,13431.900391,3534.199951,2726.600098,10196.299805,4841,24273234,
4719,13523.700195,3377.699951,2596.100098,10441.400391,4822,25121361,
4720,13365.799805,3375.300049,2596.899902,10241.099609,4793,22162460,
4721,13796.099609,3428.199951,2673.300049,10664.099609,4785,22688838,
4722,13443.400391,3228.600098,2498.100098,10497.500000,4795,22925766,
4723,13434.299805,3259.600098,2508.500000,10451.000000,4808,22887558,
4724,12897.099609,3172.500000,2476.000000,9981.900391,4871,23083846,
4725,13017.200195,3465.800049,2648.100098,9852.900391,4886,22981478,
4726,13071.099609,3442.399902,2766.000000,9869.299805,4850,22868102,
4727,12910.799805,3379.800049,2618.500000,9800.099609,4606,21998812,
4728,12979.099609,3188.500000,2525.100098,10030.599609,4585,21950076,
4729,12814.900391,3110.699951,2416.399902,9950.200195,4549,21900092,
4730,13154.400391,3296.399902,2567.500000,10117.400391,4553,21922428,
4731,12950.299805,3178.500000,2517.800049,10009.200195,4602,21797276,
4732,12941.599609,3126.699951,2414.699951,10068.799805,4598,21878556,
4733,12695.299805,3201.600098,2470.800049,9777.000000,4601,24607760,
4734,12802.599609,3253.800049,2558.600098,9806.599609,4606,24688624,
4735,13224.299805,3389.300049,2593.399902,10090.099609,4609,24465328,
4736,13410.400391,3468.399902,2645.699951,10221.299805,4645,24437552,
4737,13051.099609,3303.699951,2542.899902,10027.200195,4671,24447344,
4738,12772.299805,3332.399902,2588.800049,9748.900391,4776,24235952,
4739,12856.299805,3324.500000,2550.300049,9796.400391,4842,24175344,
4740,12955.700195,3254.199951,2533.699951,9951.700195,4803,23941136,
4741,13061.799805,3380.800049,2672.300049,9942.700195,4816,23805392,
4742,13066.500000,3290.199951,2532.600098,10047.799805,4814,26789808,
4743,13263.099609,3337.500000,2522.000000,10209.500000,4801,27017072,
4744,12968.000000,3213.300049,2490.399902,10024.500000,4834,30111696,
4745,13279.400391,3368.199951,2580.899902,10172.000000,4841,30122320,
4746,13227.099609,3333.600098,2632.199951,10146.900391,4830,32819972,
4747,13165.900391,3325.600098,2536.600098,10140.500000,4823,32223258,
4748,13472.400391,3453.199951,2681.899902,10286.400391,4843,32252378,
4749,13365.200195,3347.100098,2623.500000,10282.000000,4854,32258906,
4750,13209.000000,3290.300049,2563.000000,10164.900391,4853,32550874,
4751,13545.500000,3324.399902,2585.399902,10491.799805,4874,32429050,
4752,13140.400391,3198.899902,2459.300049,10202.200195,4899,29676762,
4753,13302.500000,3262.699951,2480.000000,10329.400391,4959,29736666,
4754,13615.000000,3312.600098,2520.199951,10578.700195,4972,32894607,
4755,13561.599609,3265.800049,2569.800049,10535.200195,4964,29817914,
4756,13596.000000,3236.300049,2528.399902,10619.500000,4936,30321578,
4757,13546.799805,3231.000000,2459.399902,10577.900391,4961,29983386,
4758,13419.700195,3239.699951,2476.800049,10450.500000,4977,29890458,
4759,13269.799805,3398.600098,2626.100098,10167.500000,4969,30253434,
4760,13380.000000,3404.399902,2683.699951,10233.900391,4929,30196602,
4761,13353.900391,3432.100098,2697.500000,10171.400391,4905,30199226,
4762,13359.299805,3249.100098,2513.300049,10366.700195,4929,30210746,
4763,13601.400391,3404.399902,2636.500000,10489.799805,4994,30552442,
4764,13758.700195,3378.899902,2589.500000,10688.799805,4955,29831184,
4765,13931.500000,3544.699951,2785.199951,10651.500000,4936,30071008,
4766,14022.700195,3465.199951,2662.300049,10833.000000,4903,28555894,
4767,13564.500000,3379.000000,2623.500000,10459.599609,4888,27209756,
4768,13711.099609,3384.500000,2636.399902,10579.200195,4868,27702385,
4769,13706.400391,3519.399902,2760.500000,10446.799805,4872,27928390,
4770,13840.700195,3513.500000,2775.800049,10593.700195,4895,28055494,
4771,14152.000000,3789.800049,2988.000000,10650.400391,4910,27879558,
4772,13920.299805,3571.699951,2813.899902,10609.400391,4956,27924038,
4773,14026.299805,3704.300049,2879.100098,10638.000000,4991,28177051,
4774,13826.400391,3515.600098,2774.100098,10553.799805,4943,28297840,
4775,13592.799805,3522.399902,2769.899902,10333.900391,4886,28259696,
4776,13748.299805,3543.100098,2822.000000,10475.200195,4876,27971424,
4777,13866.599609,3509.600098,2717.500000,10615.900391,4883,28805136,
4778,13999.099609,3562.300049,2799.600098,10715.299805,4913,28350512,
4779,13863.400391,3597.300049,2777.600098,10577.200195,4935,31463472,
4780,13910.200195,3459.600098,2703.399902,10729.299805,4961,31475440,
4781,13956.200195,3540.500000,2774.699951,10680.799805,4898,31486960,
4782,13775.099609,3568.399902,2819.699951,10486.000000,4885,31315120,
4783,13682.500000,3530.199951,2785.800049,10432.599609,4938,31342576,
4784,14008.500000,3523.300049,2766.899902,10746.400391,4933,31715333,
4785,13783.599609,3438.100098,2683.300049,10607.400391,4946,31535792,
4786,13916.000000,3578.399902,2773.800049,10607.900391,4939,31608304,
4787,13880.700195,3516.399902,2734.899902,10653.799805,4932,31708272,
4788,13930.099609,3590.800049,2821.699951,10600.500000,4903,34579024,
4789,13915.200195,3616.699951,2881.899902,10538.700195,4851,34937274,
4790,13959.700195,3412.600098,2650.300049,10821.400391,4841,34257904,
4791,13848.000000,3446.600098,2702.800049,10661.400391,4865,34149616,
4792,13739.900391,3415.500000,2645.500000,10607.599609,4892,34004592,
4793,13952.799805,3527.399902,2755.800049,10693.200195,4843,30991728,
4794,13768.500000,3629.899902,2844.199951,10429.000000,4896,31160645,
4795,14252.200195,3680.100098,2914.699951,10850.000000,4874,30642502,
4796,14276.599609,3560.500000,2807.800049,10982.599609,4840,27680454,
4797,13814.500000,3444.100098,2668.600098,10663.000000,4808,24854502,
4798,13465.700195,3439.199951,2691.100098,10281.400391,4799,24711974,
4799,13762.299805,3538.300049,2766.399902,10488.099609,4807,24992710,
4800,13832.500000,3384.699951,2630.500000,10717.599609,4818,25252422,
4801,14022.200195,3423.899902,2658.600098,10889.700195,4805,25495472,
4802,13892.000000,3299.600098,2577.500000,10856.599609,4794,25507568,
4803,13933.000000,3508.800049,2760.399902,10691.000000,4763,25404336,
4804,14286.500000,3505.500000,2752.500000,11044.099609,4820,31159460,
4805,13803.400391,3603.500000,2850.500000,10487.799805,4810,31211044,
4806,13809.799805,3409.399902,2680.300049,10666.200195,4787,31134404,
4807,13741.099609,3469.399902,2647.800049,10537.099609,4796,30795332,
