frameindex,frametime,cputime,culltime,gputime,draws,tris,
214,11598.400391,2017.800049,1562.000000,9746.500000,1198,22896118,
215,11401.299805,2063.300049,1589.300049,9513.400391,1206,23109702,
216,11475.799805,2113.000000,1603.400024,9550.500000,1192,24317456,
217,11749.000000,2101.800049,1582.099976,9833.299805,1208,24488677,
218,11619.000000,2135.600098,1656.800049,9644.599609,1212,24510565,
219,11635.599609,2111.600098,1669.699951,9693.299805,1234,24896335,
220,11588.599609,2144.000000,1641.300049,9628.599609,1228,24896207,
221,11613.400391,2120.300049,1634.000000,9678.900391,1215,24753679,
222,11684.500000,2192.399902,1689.300049,9660.900391,1234,24747791,
223,11503.299805,2078.399902,1629.599976,9577.299805,1208,24712255,
224,11376.099609,2088.800049,1641.000000,9453.900391,1208,24733695,
225,11379.400391,2035.099976,1527.000000,9535.400391,1208,23304789,
226,11287.099609,1961.400024,1538.099976,9485.900391,1211,23314133,
227,11365.700195,1999.300049,1551.800049,9524.000000,1228,23269509,
228,11511.500000,2030.199951,1574.699951,9664.099609,1217,23158661,
229,11134.599609,1956.900024,1506.699951,9332.099609,1208,23312005,
230,11766.900391,2116.000000,1647.699951,9835.599609,1212,23281413,
231,11498.200195,2145.500000,1664.300049,9522.000000,1227,23430853,
232,11312.599609,2155.199951,1695.800049,9326.900391,1227,23426629,
233,11328.200195,2028.500000,1510.000000,9464.200195,1219,23327232,
234,11249.099609,2040.900024,1584.500000,9375.000000,1227,23426645,
235,11420.599609,2124.800049,1636.800049,9480.799805,1216,23428501,
236,11371.500000,2066.500000,1597.800049,9471.400391,1204,23325269,
237,11462.299805,2152.399902,1634.400024,9471.799805,1198,23301525,
238,11648.299805,2223.899902,1659.900024,9619.400391,1207,24721711,
239,11116.000000,1995.599976,1537.900024,9283.000000,1215,24763759,
240,11473.799805,2008.800049,1549.900024,9648.099609,1236,24780015,
241,11427.500000,2073.600098,1638.800049,9528.200195,1235,24774959,
242,11043.500000,2091.000000,1633.900024,9125.200195,1222,24635610,
243,11332.500000,2060.500000,1588.900024,9461.400391,1218,24630298,
244,11301.299805,2133.800049,1646.000000,9343.400391,1221,24765610,
245,11146.000000,2124.699951,1598.300049,9193.500000,1216,24507178,
246,11116.400391,2011.199951,1522.800049,9294.299805,1241,24524778,
247,11216.700195,2110.100098,1648.300049,9262.900391,1220,24511978,
248,11597.799805,2110.600098,1647.699951,9649.000000,1229,24352426,
249,11144.000000,1977.000000,1504.699951,9344.400391,1216,24522879,
250,11228.400391,2045.300049,1567.400024,9359.000000,1204,24520127,
251,11190.000000,2035.099976,1587.300049,9333.500000,1222,24631231,
252,11313.900391,2035.800049,1575.400024,9449.200195,1214,24692287,
253,10927.400391,1957.000000,1468.800049,9156.099609,1220,25917402,
254,10905.099609,2120.899902,1660.199951,8956.200195,1214,25827290,
255,11350.400391,1940.500000,1480.000000,9579.099609,1230,25846362,
256,11031.700195,1966.300049,1480.400024,9235.599609,1221,25835034,
257,11340.900391,2079.600098,1637.300049,9419.799805,1225,26064730,
258,11474.799805,2082.500000,1609.800049,9562.400391,1233,24720554,
259,11117.200195,2037.000000,1504.599976,9281.400391,1220,24744298,
260,10966.799805,1958.000000,1450.099976,9213.200195,1205,21710331,
261,11169.900391,1971.500000,1540.599976,9355.700195,1204,21702395,
262,11056.400391,2018.199951,1567.300049,9213.299805,1213,21996768,
263,11083.299805,2083.500000,1617.699951,9169.700195,1227,22046768,
264,10958.700195,2009.300049,1542.599976,9124.099609,1219,22052848,
265,11259.500000,2003.500000,1538.900024,9415.000000,1209,22194629,
266,11414.299805,2137.100098,1652.699951,9463.099609,1219,22212805,
267,11057.599609,2053.500000,1576.599976,9190.700195,1185,22265157,
268,11186.900391,2043.300049,1580.000000,9308.099609,1199,22377685,
269,11260.900391,2058.399902,1580.599976,9362.500000,1196,22356501,
270,11300.700195,1982.000000,1499.099976,9483.299805,1217,22204160,
271,11290.400391,2085.399902,1615.000000,9371.200195,1216,22193856,
272,10804.099609,1976.699951,1510.199951,9012.200195,1209,22298645,
273,11033.099609,1961.699951,1486.599976,9243.099609,1225,22301397,
274,11070.400391,2057.600098,1601.400024,9180.599609,1242,22180373,
275,10891.299805,2051.199951,1580.699951,9004.299805,1233,22154773,
276,11161.200195,2024.699951,1560.300049,9318.700195,1232,22189989,
277,10924.099609,2023.000000,1568.099976,9073.799805,1225,21954000,
278,11166.599609,2147.300049,1684.199951,9186.799805,1233,22033104,
279,11328.700195,2093.000000,1607.099976,9409.200195,1191,22008144,
280,10854.200195,2069.300049,1612.599976,8941.200195,1191,21949904,
281,11012.700195,1963.599976,1492.300049,9217.299805,1202,21946640,
282,10859.200195,1948.699951,1510.599976,9086.599609,1206,21949456,
283,10914.599609,2032.599976,1575.500000,9053.900391,1211,22049424,
284,10921.400391,2041.800049,1573.699951,9045.200195,1213,22016592,
285,10989.000000,1961.300049,1493.400024,9209.299805,1239,22053264,
286,10871.700195,2088.100098,1625.500000,8952.000000,1246,22084736,
287,10916.799805,1987.599976,1501.900024,9107.000000,1244,22086976,
288,11489.500000,2145.699951,1673.300049,9511.400391,1253,22080704,
289,11147.400391,2125.899902,1632.699951,9194.400391,1238,22059392,
290,11011.599609,2155.699951,1692.099976,9025.500000,1245,22064960,
291,11079.700195,2085.000000,1560.400024,9184.000000,1256,22036864,
292,10939.200195,2022.000000,1536.300049,9091.299805,1249,20522208,
293,11058.400391,2038.599976,1592.900024,9183.599609,1241,20509984,
294,11091.799805,1946.300049,1493.599976,9313.299805,1257,20509600,
295,11175.799805,2127.500000,1642.900024,9221.599609,1240,20329120,
296,11348.500000,2105.600098,1609.599976,9417.299805,1243,20503029,
297,11049.099609,2094.000000,1572.500000,9134.700195,1235,20335605,
298,11105.799805,2204.100098,1751.000000,9063.799805,1240,20359925,
299,11222.500000,2156.800049,1631.400024,9253.799805,1226,20374453,
300,10858.500000,2019.099976,1532.099976,9031.099609,1239,20393653,
301,10901.299805,2034.099976,1592.300049,9026.599609,1263,21836703,
302,10886.900391,2137.500000,1623.599976,8957.599609,1262,21828255,
303,10977.299805,2104.899902,1623.500000,9033.700195,1264,20540805,
304,10927.099609,2062.199951,1575.599976,9040.400391,1262,20539205,
305,10940.099609,2031.800049,1570.500000,9063.799805,1273,21876725,
306,11117.900391,2127.899902,1685.599976,9149.900391,1269,21703264,
307,10864.000000,2062.800049,1576.099976,8979.299805,1270,23330917,
308,11097.000000,1968.300049,1480.000000,9299.400391,1269,23366197,
309,11015.099609,1941.500000,1470.400024,9242.599609,1259,23288309,
310,11018.900391,2106.899902,1597.900024,9094.099609,1273,23306741,
311,10996.200195,2004.900024,1526.800049,9165.900391,1291,23054496,
312,10934.500000,2093.399902,1638.699951,9023.099609,1265,21671280,
313,10824.700195,1977.599976,1515.300049,9014.599609,1270,21837312,
314,10663.000000,1967.900024,1527.400024,8861.900391,1267,20237499,
315,10936.700195,2047.400024,1549.900024,9076.099609,1266,20211899,
316,10632.700195,1962.000000,1509.000000,8839.099609,1275,20351995,
317,10844.400391,1987.400024,1544.400024,9031.099609,1280,20378619,
318,10668.099609,1892.599976,1424.599976,8943.700195,1279,20302395,
319,10792.799805,2025.800049,1560.900024,8943.400391,1285,21879707,
320,10963.099609,1950.000000,1483.900024,9189.099609,1298,21911003,
321,10717.500000,1940.199951,1496.300049,8931.299805,1282,21854987,
322,10818.400391,2048.399902,1559.500000,8957.099609,1302,21867467,
323,10702.099609,1941.000000,1460.300049,8928.599609,1280,21720763,
324,10939.700195,2069.899902,1520.199951,9054.200195,1303,21592827,
325,10546.500000,1890.500000,1410.800049,8828.799805,1310,21581051,
326,10797.900391,2075.699951,1533.199951,8914.099609,1304,21644987,
327,10790.799805,2017.199951,1498.400024,8972.000000,1311,20099403,
328,10858.700195,2010.699951,1528.099976,9018.500000,1317,21525483,
329,11014.299805,2004.699951,1524.500000,9194.900391,1328,21497899,
330,10808.000000,2008.000000,1507.300049,8968.299805,1312,21497515,
331,10707.200195,1942.599976,1484.500000,8936.599609,1310,21621227,
332,10740.700195,1985.300049,1490.800049,8946.599609,1319,21478459,
333,10507.200195,1861.400024,1370.900024,8839.900391,1309,21481339,
334,10472.200195,1916.199951,1428.000000,8723.599609,1322,21489147,
335,10502.299805,1930.400024,1446.000000,8742.200195,1309,19889115,
336,10468.200195,1866.099976,1390.300049,8782.500000,1313,19899227,
337,10554.200195,1969.000000,1490.099976,8759.000000,1316,20074352,
338,10658.000000,2010.400024,1524.800049,8817.500000,1308,20135088,
339,10801.500000,2014.900024,1550.400024,8955.099609,1320,20242096,
340,10472.299805,1998.599976,1474.400024,8680.599609,1327,20322416,
341,10696.099609,1968.699951,1448.000000,8911.700195,1323,20069083,
342,10598.400391,1933.800049,1447.300049,8842.400391,1319,21277349,
343,10628.299805,1967.000000,1470.400024,8847.500000,1322,21226517,
344,10771.400391,2061.600098,1588.199951,8886.299805,1303,21203669,
345,10579.200195,1974.199951,1466.900024,8783.700195,1288,19803371,
346,10991.000000,2126.300049,1634.599976,9053.599609,1344,19645590,
347,10657.900391,2012.199951,1503.099976,8832.400391,1316,19708182,
348,11122.599609,2167.500000,1627.400024,9155.599609,1324,20025595,
349,10988.200195,2063.399902,1577.900024,9098.000000,1338,20215824,
350,11050.200195,2084.500000,1586.199951,9149.599609,1326,20220944,
351,11227.299805,2081.100098,1607.800049,9310.200195,1337,20299856,
352,10668.500000,2018.400024,1519.000000,8843.400391,1330,20309520,
353,10703.599609,2059.899902,1589.800049,8825.099609,1321,20308816,
354,10597.099609,1992.099976,1489.599976,8779.299805,1335,21758954,
355,10892.599609,2106.300049,1627.300049,8971.500000,1343,21921663,
356,10623.200195,2064.600098,1558.400024,8761.900391,1332,22037711,
357,11127.500000,2206.199951,1736.199951,9089.200195,1342,22040783,
358,11265.000000,2198.000000,1699.500000,9246.299805,1342,22058063,
359,10790.500000,2052.899902,1562.800049,8911.200195,1342,22048271,
360,11090.000000,2061.800049,1570.900024,9214.599609,1338,22286180,
361,10696.200195,2096.600098,1603.400024,8774.000000,1351,22443044,
362,10744.500000,2087.500000,1613.000000,8838.500000,1347,22480500,
363,11014.500000,2086.199951,1626.500000,9092.099609,1350,22481972,
364,10768.200195,2050.899902,1564.199951,8896.400391,1374,22826249,
365,10863.000000,2066.100098,1602.199951,8973.400391,1367,22752137,
366,10984.400391,2155.100098,1643.900024,9022.200195,1367,22760841,
367,10642.000000,2150.500000,1672.000000,8677.099609,1358,22761225,
368,10756.700195,2159.000000,1686.199951,8770.900391,1367,22768329,
369,10934.099609,2135.100098,1663.199951,8981.700195,1371,22769545,
370,10740.500000,2120.399902,1637.699951,8805.400391,1374,22771529,
371,11023.099609,2262.800049,1778.000000,8932.799805,1386,22767945,
372,10927.900391,2181.199951,1706.400024,8913.500000,1362,22715577,
373,10820.299805,2158.899902,1674.500000,8833.700195,1366,22727417,
374,10679.000000,2189.899902,1697.500000,8662.099609,1358,22748153,
375,10676.500000,2115.500000,1648.500000,8739.200195,1351,22855305,
376,10807.599609,2225.899902,1717.699951,8760.200195,1348,22805577,
377,11081.700195,2171.800049,1678.800049,9083.400391,1352,22910473,
378,11030.599609,2115.300049,1645.699951,9090.599609,1389,22967113,
379,10914.099609,2142.899902,1694.699951,8938.000000,1403,22939513,
380,10886.400391,2186.500000,1696.599976,8878.200195,1411,23018553,
381,10797.099609,2216.600098,1684.500000,8786.200195,1391,23011897,
382,10814.900391,2113.199951,1610.599976,8881.000000,1364,23000633,
383,10691.500000,2178.899902,1677.300049,8699.299805,1361,23000441,
384,10792.099609,2270.600098,1783.000000,8705.599609,1365,23004601,
385,10721.599609,2186.600098,1716.599976,8701.299805,1382,21551753,
386,10748.500000,2224.199951,1709.300049,8724.099609,1410,21673033,
387,10840.400391,2277.500000,1732.199951,8754.500000,1433,21760095,
388,10545.500000,2198.800049,1700.500000,8532.200195,1432,21519498,
389,10790.299805,2275.600098,1779.400024,8711.200195,1423,20312234,
390,11074.799805,2321.199951,1740.800049,8921.400391,1433,20168085,
391,10745.400391,2125.699951,1640.599976,8807.299805,1417,19943957,
392,10839.900391,2264.100098,1771.300049,8749.599609,1411,20169002,
393,10535.799805,2210.000000,1707.300049,8540.900391,1420,20146714,
394,10636.500000,2200.899902,1659.500000,8643.900391,1429,20334127,
395,10645.400391,2242.300049,1753.300049,8587.000000,1434,20349679,
396,10734.599609,2186.199951,1681.300049,8742.200195,1446,19959109,
397,10711.000000,2377.000000,1875.500000,8526.400391,1449,20062421,
398,10552.200195,2292.800049,1800.500000,8441.400391,1442,18830459,
399,10737.200195,2226.800049,1716.800049,8697.500000,1454,18853243,
400,10889.299805,2297.800049,1733.300049,8798.299805,1447,18615211,
