frameindex,frametime,cputime,culltime,gputime,draws,tris,
1359,15472.700195,2939.300049,2487.699951,12688.400391,2066,17974874,
1360,15734.099609,3008.699951,2586.000000,12888.700195,2069,17977178,
1361,15613.299805,2840.300049,2410.699951,12941.299805,2121,18014042,
1362,15606.500000,2871.800049,2443.800049,12907.599609,2142,17999130,
1363,15694.500000,2917.100098,2449.300049,12936.099609,2167,17738501,
1364,15472.400391,2949.000000,2511.500000,12686.299805,2201,17561264,
1365,15846.299805,2925.399902,2483.899902,13076.299805,2214,18682314,
1366,15586.500000,2953.100098,2505.100098,12797.299805,2230,18353978,
1367,15643.299805,3068.300049,2610.000000,12747.599609,2225,19721029,
1368,15904.299805,3107.000000,2627.800049,12964.599609,2231,19378944,
1369,16004.700195,3076.899902,2614.800049,13104.599609,2213,18039136,
1370,15686.299805,2882.500000,2440.399902,12950.400391,2256,18095125,
1371,15880.299805,3048.300049,2587.199951,13001.799805,2254,18287386,
1372,15750.200195,3031.100098,2568.600098,12900.900391,2296,19796484,
1373,15717.200195,3054.300049,2601.199951,12832.200195,2292,17113488,
1374,15710.599609,2949.100098,2480.600098,12944.900391,2299,17074176,
1375,15838.599609,3032.300049,2555.199951,12984.500000,2295,18393434,
1376,15477.299805,2935.300049,2495.000000,12690.400391,2328,18256709,
1377,15824.099609,3054.800049,2607.199951,12941.900391,2283,16869035,
1378,15612.799805,2925.199951,2466.500000,12861.799805,2301,16779675,
1379,15616.299805,3007.199951,2532.600098,12789.000000,2321,16664651,
1380,15249.799805,2950.899902,2482.100098,12469.900391,2341,18620880,
1381,15620.200195,2885.399902,2459.100098,12890.299805,2371,16928091,
1382,15563.099609,3012.399902,2552.399902,12727.500000,2390,15567211,
1383,15563.200195,2944.399902,2478.500000,12782.799805,2409,16803723,
1384,15484.700195,3010.500000,2523.100098,12666.799805,2414,16804875,
1385,15679.500000,2966.300049,2516.399902,12884.799805,2427,18210598,
1386,15678.099609,2868.199951,2374.000000,12997.299805,2410,18103782,
1387,15718.400391,3066.699951,2586.399902,12828.299805,2403,19480662,
1388,15588.099609,3038.399902,2552.600098,12736.000000,2412,17902006,
1389,15603.400391,2915.500000,2465.199951,12866.299805,2414,17836918,
1390,15667.900391,2996.899902,2511.500000,12853.599609,2416,17865398,
1391,15646.099609,2973.699951,2509.300049,12853.099609,2420,17810785,
1392,15601.299805,3046.899902,2557.300049,12720.400391,2415,16345777,
1393,15753.099609,3151.100098,2680.800049,12776.400391,2404,16345713,
1394,15823.400391,3254.300049,2760.699951,12750.000000,2424,16458881,
1395,15571.799805,3132.899902,2695.899902,12595.500000,2480,16636438,
1396,15951.000000,3264.800049,2820.600098,12847.200195,2477,15098604,
1397,15769.200195,3038.500000,2514.100098,12930.400391,2488,16601207,
1398,16088.099609,3233.800049,2787.800049,13026.400391,2486,16600887,
1399,15751.700195,3240.899902,2788.699951,12684.700195,2500,16619447,
1400,16265.099609,3228.600098,2771.399902,13212.599609,2512,18156583,
1401,15875.299805,3247.199951,2700.100098,12824.599609,2499,16639063,
1402,15892.299805,3362.399902,2888.000000,12711.099609,2524,17729313,
1403,15872.799805,3203.300049,2736.100098,12857.500000,2523,16820139,
1404,16087.200195,3112.199951,2620.000000,13154.799805,2544,17252544,
1405,16035.700195,3142.800049,2682.600098,13068.599609,2556,17200368,
1406,15777.500000,3134.899902,2680.600098,12809.400391,2544,17188224,
1407,15905.299805,3089.399902,2627.600098,12986.000000,2558,15882854,
1408,15862.700195,3171.600098,2714.399902,12866.700195,2567,16146123,
1409,15759.400391,3125.500000,2654.000000,12805.700195,2561,16231563,
1410,16176.000000,3256.399902,2784.300049,13100.000000,2594,15966086,
1411,15963.400391,3099.100098,2612.300049,13046.500000,2564,15647798,
1412,15722.900391,3087.300049,2573.500000,12820.900391,2558,15778059,
1413,15832.700195,3164.699951,2702.500000,12837.500000,2533,16004038,
1414,15639.200195,3005.399902,2522.699951,12816.099609,2529,15892150,
1415,15778.400391,3100.899902,2562.100098,12872.900391,2546,15830518,
1416,15917.799805,3156.000000,2667.800049,12936.599609,2549,15890486,
1417,15610.500000,3122.500000,2639.300049,12676.000000,2586,17220950,
1418,15553.700195,3103.300049,2601.100098,12618.500000,2582,17199574,
1419,15904.099609,3139.800049,2594.600098,12965.500000,2584,17519659,
1420,15864.000000,3109.800049,2609.000000,12948.099609,2597,17923904,
1421,15794.299805,3188.899902,2699.699951,12806.200195,2602,17543446,
1422,15753.500000,3134.600098,2622.500000,12819.900391,2619,17501526,
1423,15666.200195,3058.000000,2550.000000,12805.000000,2598,17467526,
1424,15730.599609,3081.199951,2607.000000,12835.200195,2615,17504070,
1425,15818.500000,3055.800049,2613.100098,12926.500000,2612,17501830,
1426,15736.500000,2996.100098,2524.600098,12919.200195,2605,17428422,
1427,15727.799805,2969.800049,2476.500000,12925.099609,2610,17603782,
1428,15846.500000,3033.399902,2559.100098,12990.900391,2597,17685654,
1429,15643.599609,3045.500000,2558.000000,12771.000000,2584,17781035,
1430,15826.000000,3101.399902,2576.100098,12899.799805,2610,17670827,
1431,15896.700195,3131.600098,2647.100098,12949.500000,2613,17564374,
1432,15942.799805,3245.600098,2771.000000,12886.599609,2607,17495878,
1433,15967.400391,3048.699951,2612.600098,13087.799805,2602,15981478,
1434,15979.400391,3011.500000,2547.699951,13136.400391,2603,15994406,
1435,15937.400391,3160.399902,2675.100098,12965.900391,2606,16006950,
1436,15823.500000,3146.800049,2646.300049,12859.400391,2596,16027430,
1437,16072.799805,3088.600098,2635.800049,13161.299805,2651,17622422,
1438,15792.500000,3247.500000,2768.399902,12725.099609,2649,17682838,
1439,15743.500000,3252.500000,2776.699951,12661.000000,2647,17670694,
1440,16025.400391,3178.800049,2698.600098,13028.000000,2652,17556886,
1441,16026.799805,3228.399902,2708.000000,12973.799805,2621,17608726,
1442,15924.799805,3252.699951,2765.199951,12865.200195,2661,17548630,
1443,16273.200195,3199.800049,2716.600098,13268.599609,2640,17487126,
1444,15821.900391,3147.000000,2626.100098,12878.400391,2606,16119094,
1445,16137.000000,3229.199951,2746.500000,13091.900391,2624,16096374,
1446,15922.099609,3200.000000,2730.199951,12900.400391,2663,16081462,
1447,16029.400391,3152.600098,2665.600098,13068.200195,2673,16232246,
1448,16151.799805,3232.300049,2763.600098,13097.700195,2656,16111942,
1449,16224.799805,3297.800049,2801.699951,13103.400391,2662,16022214,
1450,15951.200195,3189.300049,2704.100098,12948.500000,2666,17835072,
1451,15975.599609,3291.500000,2799.800049,12884.200195,2667,17858624,
1452,15984.299805,3189.699951,2688.199951,12979.599609,2665,17605675,
1453,15874.500000,3289.600098,2762.100098,12784.299805,2682,17648939,
1454,16024.900391,3278.899902,2776.600098,12936.400391,2709,17772987,
1455,16170.799805,3224.399902,2752.199951,13122.000000,2693,18136336,
1456,16131.900391,3308.699951,2842.000000,12997.299805,2682,18087504,
1457,16166.099609,3325.800049,2830.000000,13027.200195,2670,18103504,
1458,16225.099609,3243.600098,2761.699951,13161.700195,2696,18006544,
1459,16327.200195,3363.199951,2862.199951,13160.299805,2721,18032848,
1460,16191.700195,3347.100098,2874.699951,13027.799805,2728,17713638,
1461,16145.700195,3316.699951,2815.600098,13019.900391,2747,17613734,
1462,16296.299805,3476.699951,2993.100098,13002.299805,2748,17635750,
1463,16281.299805,3390.399902,2918.500000,13054.799805,2708,17528300,
1464,16152.200195,3341.800049,2878.300049,12992.700195,2691,17305815,
1465,16073.400391,3316.699951,2841.600098,12937.700195,2669,17326940,
1466,16085.099609,3400.300049,2919.199951,12867.599609,2674,17404700,
1467,16289.299805,3406.899902,2944.500000,13060.400391,2706,18824268,
1468,16290.000000,3501.300049,2989.600098,12992.900391,2721,18853452,
1469,16323.700195,3473.899902,2991.300049,13035.000000,2725,19024300,
1470,16615.599609,3487.300049,3009.000000,13300.900391,2716,19312236,
1471,15962.500000,3330.300049,2841.300049,12810.299805,2743,19394156,
1472,16176.299805,3478.199951,2917.300049,12905.099609,2722,18275794,
1473,16337.099609,3359.300049,2904.600098,13148.000000,2733,18541223,
1474,16068.599609,3430.600098,2948.300049,12826.900391,2701,18208167,
1475,16110.599609,3522.300049,3034.199951,12761.299805,2711,17974546,
1476,16381.799805,3422.300049,2949.600098,13134.700195,2721,18199058,
1477,16052.500000,3387.000000,2881.699951,12855.000000,2716,18088706,
1478,15925.799805,3506.800049,3024.500000,12595.700195,2740,18196951,
1479,16074.000000,3502.800049,3005.699951,12767.400391,2718,18084375,
1480,16130.000000,3386.399902,2927.699951,12913.400391,2721,19385970,
1481,16274.799805,3495.800049,3006.100098,12965.900391,2737,19392818,
1482,16397.900391,3516.899902,3020.500000,13056.700195,2732,19311666,
1483,16160.000000,3351.800049,2827.300049,13010.900391,2736,16391863,
1484,16104.000000,3592.399902,3090.000000,12693.599609,2728,16325687,
1485,16312.299805,3538.600098,3056.199951,12961.599609,2737,16298999,
1486,16091.500000,3352.000000,2853.300049,12922.200195,2730,16461820,
1487,16132.000000,3413.699951,2895.800049,12919.200195,2736,16373436,
1488,16156.700195,3332.399902,2856.199951,13001.599609,2715,16116327,
1489,16070.000000,3386.899902,2907.600098,12862.200195,2742,16106471,
1490,16069.599609,3514.100098,3012.300049,12732.099609,2763,16133415,
1491,16252.200195,3447.500000,2974.600098,12991.500000,2764,15074588,
1492,16213.400391,3290.899902,2754.399902,13137.200195,2758,15089820,
1493,15918.299805,3351.500000,2872.899902,12741.200195,2754,15272796,
1494,16376.700195,3626.500000,3150.300049,12935.599609,2759,15233820,
1495,16019.900391,3285.699951,2784.199951,12926.000000,2777,15060892,
1496,16029.500000,3433.000000,2930.000000,12784.900391,2790,14688711,
1497,16175.599609,3460.300049,2980.500000,12901.599609,2787,16376412,
1498,15942.599609,3279.500000,2769.000000,12865.799805,2801,16444508,
1499,16053.400391,3346.100098,2860.000000,12903.000000,2801,16395996,
1500,15853.000000,3288.300049,2789.100098,12757.400391,2809,17775815,
1501,16115.299805,3354.100098,2835.300049,12937.400391,2844,19257783,
1502,15883.799805,3216.699951,2720.699951,12841.000000,2854,19015778,
1503,15920.799805,3425.600098,2966.199951,12676.299805,2845,18966418,
1504,16194.099609,3268.100098,2764.199951,13116.400391,2830,18845826,
1505,15950.099609,3291.600098,2799.699951,12845.400391,2804,18741421,
1506,15823.500000,3313.899902,2827.100098,12699.099609,2786,18729261,
1507,15816.000000,3265.000000,2747.699951,12760.799805,2801,18832813,
1508,16064.099609,3175.500000,2689.699951,13074.900391,2799,18916034,
1509,15722.700195,3234.300049,2740.500000,12678.799805,2791,18905538,
1510,15987.599609,3146.699951,2654.600098,13010.599609,2781,18901378,
1511,15798.000000,3116.800049,2631.000000,12855.200195,2781,18819842,
1512,15693.599609,3315.399902,2834.100098,12560.099609,2783,18820226,
1513,15984.000000,3109.199951,2620.600098,13064.200195,2768,17437602,
1514,15794.500000,3053.000000,2549.600098,12940.900391,2760,17457890,
1515,15839.000000,3187.399902,2702.500000,12832.099609,2750,15745565,
1516,15698.000000,3068.899902,2587.800049,12797.900391,2762,15712477,
1517,15945.500000,3114.100098,2624.500000,13009.700195,2757,15709021,
1518,15455.500000,3004.500000,2495.600098,12649.099609,2760,15887154,
1519,15782.099609,3208.199951,2726.800049,12748.799805,2783,15884338,
1520,15754.000000,3150.300049,2654.399902,12786.299805,2807,17293468,
1521,16125.799805,3096.300049,2600.800049,13221.000000,2810,18678838,
1522,15846.400391,3193.000000,2708.899902,12828.099609,2793,18656630,
1523,15895.700195,3123.199951,2620.100098,12948.299805,2783,18588902,
1524,15837.299805,3155.500000,2639.199951,12894.000000,2793,18411302,
1525,15625.700195,3197.000000,2703.500000,12607.299805,2797,18341542,
1526,15786.900391,3230.699951,2739.800049,12733.500000,2804,18396326,
1527,15889.900391,3196.699951,2668.800049,12901.400391,2790,18447990,
1528,16081.700195,3393.899902,2913.000000,12871.900391,2798,18229398,
1529,16035.000000,3315.699951,2857.500000,12889.599609,2780,16845244,
1530,15896.500000,3124.000000,2624.699951,12959.400391,2779,16833788,
